appid,name,developer,publisher,score_rank,owners,owners_variance,players_forever,players_forever_variance,players_2weeks,players_2weeks_variance,average_forever,average_2weeks,median_forever,median_2weeks,ccu,price,Free to Play,MOBA,Strategy,Multiplayer,Team-Based,Action,e-sports,Online Co-Op,Competitive,PvP,RTS,Difficult,RPG,Tower Defense,Fantasy,Co-op,Character Customization,Replay Value,Action RPG,Simulation
448300,Logic Missile,Bouchard Industries,Bouchard Industries,,686,949,0,0,0,0,0,0,0,0,0,99,,,,,,21,,,,,,,,,,,,,,
13120,Americas Army 3 Beta,,,,714,1397,714,1397,0,0,15379,0,15379,0,0,0,,,,,,,,,,,,,,,,,,,,
415140,PD Howler 10,"Daniel Ritchie - Squirreldome.com, Philip Staiger - TheBest3D.com",KISS ltd,77,680,767,0,0,0,0,0,0,0,0,0,6999,,,,,,,,,,,,,,,,,,,,
458410,Cabals: Magic & Battle Cards,Kyy Games,Kyy Games,,686,949,661,1294,0,0,28,0,28,0,0,0,,,,,,,,,,,,,,,,,,,,
263180,Squirts Adventure,The Dept of Silly Stuff,The Dept of Silly Stuff,21,680,767,667,1306,0,0,14,0,14,0,0,99,,,,,,,,,,,,,,,,,,,,
469900,Paradox Paradigm,Josh,GamingVNetwork,29,689,954,667,1306,0,0,2,0,2,0,0,299,,,31,,,,,,,,,,,,,,,,,
332880,Dont Shoot Yourself!,"Silverware Games, Inc.","Silverware Games, Inc.",65,680,767,680,767,0,0,56,0,56,0,0,499,,,34,,,32,,,,,,,,,,,,,,
478210,BUDDY,Hoshko,Hoshko,13,1034,1168,689,954,0,0,11,0,11,0,0,999,,,,,,,,,,,,,,,,,,,,
469710,Shattered Throne,Checkmark Games,Checkmark Games,56,1359,1085,664,918,0,0,410,0,410,0,0,999,,,33,,,,,,,,,,,,,,,,,
364540,GameLoading: Game Narrative,,,,1724,1508,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
489140,Mr Shifty,Team Shifty,tinyBuild,,714,1397,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
486350,Square Arena,Hepta Games,Hepta Games,70,689,954,689,954,0,0,12,0,12,0,0,499,,,,,,23,,,,,,,,,,,,,,
493380,ChessVR,games.Sharbit,games.Sharbit,100,1133,990,664,918,0,0,750,0,750,0,0,399,,,21,,,,,,,,,,,,,,,,,
491390,Alchemist Penguin,"Foot in the Box, LLC","Foot in the Box, LLC",100,1133,990,0,0,0,0,0,0,0,0,0,99,,,,,,21,,,,,,,,,,,,,,
452340,Ians Eyes,Sindie Games,SOEDESCO Publishing,50,689,954,689,954,0,0,58,0,58,0,1,999,,,,,,,,,,,,,,,,,,,,
371600,F1 Chequered Flag,Xing Interactive,Xing Interactive,,1812,1253,0,0,0,0,0,0,0,0,0,499,,,,,,,,,,,,,,,,,,,,
371280,Rolling Shapes,"Vertex Games, S.C.","Vertex Games, S.C.",6,1133,990,680,767,0,0,130,0,130,0,0,199,,,,,,,,,,,,13,,,,,,,,
377040,Professor TeachesÂ® Excel 2013 & 365,Individual Software,Individual Software,,714,1397,0,0,0,0,0,0,0,0,0,1499,,,,,,,,,,,,,,,,,,,,
367080,Songbringer,Wizard Fu Games,Wizard Fu Games,,906,886,661,1294,0,0,501,0,501,0,0,0,,,,,,,,,,,,,,,,,,,,
508890,Meteor Crush VR,XIERRA Games,XIERRA Games,100,686,949,0,0,0,0,0,0,0,0,0,99,,,,,,21,,,,,,,,,,,,,,
440420,True Fear: Forsaken Souls Part 1,Goblinz,The Digital Lounge,87,2492,1469,2039,1329,1322,1830,372,338,507,628,4,1499,,,,,,,,,,,,,,,,,,,,
387270,Mystical,Philippe Forgeur,Philippe Forgeur,29,2039,1329,1660,1452,0,0,109,0,198,0,0,199,,,31,,,,,,,,,,11,,,,,,,
489440,Tentacult!,Salty Sloth Studios L.L.C.,Salty Sloth Studios L.L.C.,52,1359,1085,906,886,0,0,20,0,23,0,0,99,,,,,,,,,,,,,,,,,,,,
503370,Hospitalize,Illeris,Illeris,45,906,886,906,886,689,954,465,267,474,267,0,1599,,,,,,,,,,,,,,,,,,,,21
391000,Farm Frenzy Collection,Alawar Entertainment,Buka Entertainment,100,1586,1172,1586,1172,714,1397,5049,1428,6083,1428,0,1999,,,31,,,,,,,,,,,,,,,,,28
516890,Alchemic Jousts,Lunatic Pixels,Lunatic Pixels,77,714,1397,714,1397,0,0,167,0,167,0,0,1499,,,30,,,31,,,,,,,,,,,,,,
519930,Social Interaction Trainer,Ryan Jake Lambourn,gogem.pro,3,1359,1085,1133,990,0,0,58,0,59,0,0,499,,,,,,,,,,,,,,,,,,,,
344900,Undeadz!,Miguel Lleras,Miguel Lleras,9,2266,1401,1586,1172,0,0,42,0,47,0,0,99,,,,,,32,,,,,,,,,,,,,,
539690,Nanomedix Inc,ItRuStore Games,TrolleyBuzz LLC,5,680,767,667,1306,0,0,9,0,9,0,0,99,,,21,,,,,,,,,,,,,,,,,
548330,Wheely,Mana Potion Studios,Mana Potion Studios,100,1586,1172,1586,1172,689,954,224,201,247,201,0,199,,,,,,,,,,,,,,,,,,,,
409130,Demigods,Realore,Realore,10,1034,1168,1334,1847,0,0,728,0,1455,0,0,399,,,,,,,,,,,,,,,,,,,,20
548860,The Torus Syndicate,Codeate,Codeate,93,714,1397,714,1397,0,0,20,0,20,0,0,1499,,,,,,31,,,,,,,,,,,,,,
402485,Viking Armor / Weapons: 16 - Banner Trim,,,,689,954,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
550170,RPG Fighter League,Owl Green Sea,Owl Green Sea,100,2266,1401,661,1294,0,0,2418,0,2418,0,0,299,,,,,,21,,,,,,,22,,,,,,,
404306,Transport Vehicle - Part 1: 06 - Modeling,,,,714,1397,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
554680,Crazy Saloon VR,Monsieur K,Monsieur K,39,714,1397,714,1397,0,0,16,0,16,0,0,999,,,,,,21,,,,,,,,,,,,,,21
553800,Lunar Stone: Origin of Blood,Zenox Studio,"GQJoy Co.,Ltd",39,686,949,714,1397,0,0,34,0,34,0,0,1499,,,,,,23,,,,,,,,,,,,,,
519490,NBA 2KVR Experience,Specular Interactive,2K,0,689,954,714,1397,0,0,50,0,50,0,0,1499,,,,,,,,,,,,,,,,,,,,
524640,Asura,Ogre Head Studio,Ogre Head Studio,,714,1397,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
543510,SONAR Home Studio,Cakewalk,Cakewalk,20,1372,1342,1372,1342,1029,1162,163,216,244,431,8,4999,,,,,,,,,,,,,,,,,,,,
410050,The Forgotten Forest,Dylan Wentz,Dylan Wentz,15,2492,1469,0,0,0,0,0,0,0,0,0,99,,,,,,,,,,,,,,,,,,,,
561340,Merlin adventurer store,DyingCat,DyingCat,77,680,767,686,949,714,1397,367,12,367,12,4,299,,,,,,,,,,,,,,,,,,,,31
555290,Little Briar Rose,Elf Games Works,Mangatar Games,59,714,1397,0,0,0,0,0,0,0,0,1,799,,,,,,,,,,,,,,,,,,,,
565630,Christmas Eve: Midnights Call Collectors Edition,ERS G Studios,Big Fish Games,100,714,1397,714,1397,0,0,29,0,29,0,1,1299,,,,,,,,,,,,,,,,,,,,
562680,The Wizards Who Fell In A Hole,Battenberg Software,OtakuMaker.com,100,906,886,0,0,0,0,0,0,0,0,1,199,,,,,,20,,,,,,,,,,,,,,
369300,Adventure Time: Finn and Jake Investigations,Vicious Cycle Software,Little Orbit,52,2039,1329,2324,1718,0,0,687,0,1110,0,3,1499,,,,,,,,,,,,,,,,,,,,
423015,UWT - 2. 3DS Max Modeling - Chapter 1.1,,,,689,954,667,1306,667,1306,308,4,308,4,0,,,,,,,,,,,,,,,,,,,,,
423031,UWT - 2. 3DS Max Modeling - Chapter 4.2,,,,689,954,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
559140,Pinheads Bowling VR,"Midnight Studios, Inc.","Midnight Studios, Inc.",3,714,1397,714,1397,0,0,5,0,5,0,0,1199,,,,,,21,,,,,,,,,,,,,,21
