"","score_rank","average_forever","price","Strategy","Multiplayer","Action","COOP","Early_Access","Open_World","Adventure","Indie","Casual","Horror","Puzzle","Platformer","Two_Dimensional","Pixel_Graphics","Point_And_Click","VR"
"101",95,521,1499,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0
"102",18,402,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0
"103",45,1009,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0
"104",59,375,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
"105",95,970,1999,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"106",62,1405,3999,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0
"107",62,6828,3999,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0
"108",80,1172,999,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"109",13,251,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"110",87,2289,2999,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"111",65,929,999,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"112",84,1240,1499,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"114",26,516,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"115",93,248,1999,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0
"116",56,243,1299,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"117",90,1878,1999,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"118",6,252,1999,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"119",77,450,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"120",11,282,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"121",84,326,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"122",52,295,999,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1
"123",62,559,5999,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
"124",62,5185,5999,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
"125",95,1890,499,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
"126",93,879,1999,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"127",77,946,1999,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"128",98,1037,999,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"129",73,1771,1999,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"130",41,853,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"131",77,11009,3999,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"132",22,951,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0
"133",84,4719,2999,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"134",95,662,1999,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0
"135",56,1263,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0
"136",80,1148,1499,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0
"137",77,2616,1999,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"138",73,271,1999,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
"139",67,153,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0
"140",54,1200,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0
"141",70,826,1499,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"142",62,325,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"143",98,149,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0
"144",37,867,1999,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"145",84,1591,1999,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"146",98,4062,3999,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"147",73,3314,1499,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0
"150",21,3717,1999,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
"151",95,387,1999,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0
"152",93,312,1499,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0
"153",73,441,999,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0
"154",41,781,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0
"155",70,1765,1999,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"156",56,530,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"157",98,1702,999,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0
"158",84,1290,1999,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"159",56,343,1999,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
"160",73,868,999,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"161",45,2682,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"162",77,764,999,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"163",73,639,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0
"164",56,423,999,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"165",70,305,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"166",45,8239,5995,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"167",98,6646,1999,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
"168",25,222,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0
"169",87,897,1999,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"170",90,1684,2999,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"171",98,366,1499,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
"172",54,1437,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0
"173",95,950,999,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0
"174",7,641,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0
"175",41,455,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"176",98,460,1499,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0
"177",95,731,1499,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"178",39,232,99,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0
"179",73,385,1999,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"180",43,978,999,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"181",56,1066,1999,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
