@relation R_data_frame

@attribute score_rank numeric
@attribute average_forever numeric
@attribute price numeric
@attribute Strategy numeric
@attribute Multiplayer numeric
@attribute Action numeric
@attribute COOP numeric
@attribute Early_Access numeric
@attribute Open_World numeric
@attribute Adventure numeric
@attribute Indie numeric
@attribute Casual numeric
@attribute Horror numeric
@attribute Puzzle numeric
@attribute Platformer numeric
@attribute Two_Dimensional numeric
@attribute Pixel_Graphics numeric
@attribute Point_And_Click numeric
@attribute VR numeric

@data
84,1290,1999,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
56,343,1999,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
73,868,999,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
45,2682,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
77,764,999,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
73,639,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0
56,423,999,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
70,305,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
45,8239,5995,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
98,6646,1999,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
25,222,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0
87,897,1999,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1684,2999,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
98,366,1499,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
54,1437,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0
95,950,999,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0
7,641,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0
41,455,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
98,460,1499,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0
95,731,1499,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
39,232,99,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0
73,385,1999,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
43,978,999,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
56,1066,1999,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
98,2908,1499,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0
84,3808,1999,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
54,185,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0
90,1778,1999,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1499,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
52,424,2999,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
41,1160,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
62,1142,1999,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
50,882,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0
31,611,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
90,1638,2999,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
84,1181,1499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,228,1499,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
54,1705,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
98,783,2499,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
37,167,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
70,1182,999,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
41,4421,1999,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
34,254,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0
77,446,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0
56,723,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0
98,350,999,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
70,2850,2499,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
65,407,1999,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
77,1563,3999,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
43,664,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0
67,3230,1999,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
84,2523,1499,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
50,953,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
39,302,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
73,563,3999,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
50,493,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
52,4293,2499,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0
98,987,2999,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
14,594,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
8,301,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0
67,702,1499,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
80,2316,2999,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
21,143,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
84,128,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0
34,472,1999,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
17,3126,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
84,883,1999,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
80,1315,1999,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
93,634,799,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0
98,6270,1499,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0
93,3996,1999,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
84,421,999,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
65,1535,999,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0
52,2193,3999,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
50,231,149,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
93,2346,1999,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
35,335,1999,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0
95,350,999,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0
17,167,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0
56,822,1999,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
54,663,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0
93,857,1999,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0
98,4335,3999,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
93,1666,1499,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
77,1838,1999,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
80,451,2999,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
56,219,999,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1
5,475,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0
87,2237,5999,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0
41,3614,5999,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
84,1012,5999,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
59,1077,999,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
32,2764,1999,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
28,406,1999,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
28,277,1999,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
98,412,1499,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0
7,2480,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0
90,428,2999,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
95,368,1999,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
84,462,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
43,4505,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
90,557,999,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
90,2250,999,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
87,336,1299,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1192,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
90,1383,1999,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
56,106,799,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
67,120,1499,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
