"","score_rank","average_forever","price","Strategy","Multiplayer","Action","RPG","Simulation","Adventure","Singleplayer","Indie","Casual","Atmospheric","Great Soundtrack","Puzzle","2D"
"135",56,"[931,41947]",0,0,1,1,1,0,1,1,1,1,0,1,0,0
"136",80,"[931,41947]",1499,0,0,1,0,1,1,1,1,0,1,0,0,0
"137",77,"[931,41947]",1999,0,1,1,1,0,1,1,0,0,1,1,0,0
"138",73,"[246,  317)",1999,0,0,1,0,0,1,1,0,0,1,1,1,0
"139",67,"[123,  165)",0,0,1,1,0,0,1,1,1,0,1,0,0,0
"140",54,"[931,41947]",0,1,1,1,1,0,1,0,1,1,0,0,0,1
"141",70,"[475,  931)",1499,0,1,1,1,0,1,1,0,0,1,1,0,0
"142",62,"[317,  475)",0,0,1,1,0,0,1,0,0,0,0,0,0,0
"143",98,"[123,  165)",0,0,1,1,0,0,1,1,1,0,0,0,0,1
"144",37,"[475,  931)",1999,0,1,1,0,0,1,1,0,0,1,1,0,0
"145",84,"[931,41947]",1999,1,1,1,0,1,0,1,0,0,1,0,0,0
"146",98,"[931,41947]",3999,0,0,1,1,0,1,1,0,0,1,1,0,0
"147",73,"[931,41947]",1499,0,1,1,1,0,1,1,1,0,1,1,0,1
"150",21,"[931,41947]",1999,0,1,1,1,1,1,0,0,0,0,0,0,0
"151",95,"[317,  475)",1999,0,1,1,1,0,1,1,1,1,1,1,1,1
"152",93,"[246,  317)",1499,0,0,1,0,0,1,1,1,1,0,1,0,1
"153",73,"[317,  475)",999,0,0,1,0,1,0,1,1,1,0,0,0,0
"154",41,"[475,  931)",0,1,1,1,1,0,1,1,1,1,0,0,0,0
"155",70,"[931,41947]",1999,1,1,1,1,0,0,1,0,0,1,1,0,0
"156",56,"[475,  931)",0,0,1,1,1,1,1,1,1,1,0,0,0,0
"157",98,"[931,41947]",999,1,0,0,1,1,1,1,1,1,1,1,0,1
"158",84,"[931,41947]",1999,0,0,1,1,0,1,1,0,0,1,0,0,0
"159",56,"[317,  475)",1999,0,0,1,1,0,1,1,0,0,0,0,1,0
"160",73,"[475,  931)",999,0,0,1,1,0,1,1,0,0,1,1,0,0
"161",45,"[931,41947]",0,1,1,1,1,0,1,1,0,0,0,0,0,0
"162",77,"[475,  931)",999,1,1,1,0,0,1,1,0,0,0,1,0,0
"163",73,"[475,  931)",0,0,0,1,1,0,1,1,0,0,0,0,1,0
"164",56,"[317,  475)",999,0,1,1,0,0,0,0,0,0,0,0,0,0
"165",70,"[246,  317)",0,1,1,1,0,1,0,1,1,0,0,0,0,0
"166",45,"[931,41947]",5995,1,1,1,0,1,0,1,0,0,1,0,0,0
"167",98,"[931,41947]",1999,1,1,1,1,1,1,1,1,0,0,0,0,0
"168",25,"[203,  246)",0,1,1,1,1,1,1,1,1,1,0,0,0,0
"169",87,"[475,  931)",1999,1,1,1,0,0,0,1,0,0,0,0,0,0
"170",90,"[931,41947]",2999,0,1,1,1,0,1,1,0,0,1,1,0,0
"171",98,"[317,  475)",1499,0,0,1,1,0,1,1,1,0,1,1,0,1
"172",54,"[931,41947]",0,0,1,1,1,0,1,0,1,0,0,0,0,0
